Name,Province,Latitude,Longitude,elevation_m,difficulty_level,hiking_duration_hours,recommended_for,image_url,source_url,distance_km,Elevation_gain
Gunung Halimun Utara,Banten,-6.7108,106.4517,1929,Moderate,4.8149999999999995,Intermediate,https://www.gunungbagging.com/wp-content/uploads/2025/02/cropped-GunungBaggingnewlogo-92x92.webp,https://www.gunungbagging.com/halimun/,8,1929
Gunung Karang,Banten,-6.2686,106.0491,1778,Moderate,4.5633333333333335,Intermediate,https://www.gunungbagging.com/wp-content/uploads/2025/02/cropped-GunungBaggingnewlogo-92x92.webp,https://www.gunungbagging.com/karang/,8,1778
Gunung Pulosari,Banten,-6.3417,105.9783,1346,Moderate,3.8433333333333333,Intermediate,https://www.gunungbagging.com/wp-content/uploads/2025/02/cropped-GunungBaggingnewlogo-92x92.webp,https://www.gunungbagging.com/pulosari/,8,1346
Gunung Raksa,Banten,-6.6027,105.2426,329,Easy,2.1483333333333334,Beginner,https://www.gunungbagging.com/wp-content/uploads/2025/02/cropped-GunungBaggingnewlogo-92x92.webp,https://www.gunungbagging.com/raksa/,8,329
Gunung Ciremai,Jawa Barat,-6.8929,108.4069,3078,Moderate,6.73,Intermediate,https://www.gunungbagging.com/wp-content/uploads/2025/02/cropped-GunungBaggingnewlogo-92x92.webp,https://www.gunungbagging.com/ciremai/,8,3078
Gunung Pangrango,Jawa Barat,-6.7701,106.965,3020,Moderate,6.633333333333333,Intermediate,https://www.gunungbagging.com/wp-content/uploads/2025/02/cropped-GunungBaggingnewlogo-92x92.webp,https://www.gunungbagging.com/pangrango/,8,3020
Gunung Cikuray,Jawa Barat,-7.3226,107.8599,2821,Moderate,6.301666666666668,Intermediate,https://www.gunungbagging.com/wp-content/uploads/2025/02/cropped-GunungBaggingnewlogo-92x92.webp,https://www.gunungbagging.com/cikuray/,8,2821
Gunung Papandayan,Jawa Barat,-7.3289,107.7159,2675,Moderate,6.058333333333334,Intermediate,https://www.gunungbagging.com/wp-content/uploads/2025/02/cropped-GunungBaggingnewlogo-92x92.webp,https://www.gunungbagging.com/papandayan/,8,2675
Gunung Patuha,Jawa Barat,-7.1624,107.3992,2450,Moderate,5.683333333333334,Intermediate,https://www.gunungbagging.com/wp-content/uploads/2025/02/cropped-GunungBaggingnewlogo-92x92.webp,https://www.gunungbagging.com/patuha/,8,2450
Gunung Malabar,Jawa Barat,-7.1514,107.6251,2343,Moderate,5.505,Intermediate,https://www.gunungbagging.com/wp-content/uploads/2025/02/cropped-GunungBaggingnewlogo-92x92.webp,https://www.gunungbagging.com/malabar/,8,2343
Gunung Guntur,Jawa Barat,-7.1426,107.8413,2249,Moderate,5.348333333333334,Intermediate,https://www.gunungbagging.com/wp-content/uploads/2025/02/cropped-GunungBaggingnewlogo-92x92.webp,https://www.gunungbagging.com/guntur/,8,2249
Gunung Galunggung,Jawa Barat,-7.2345,108.0691,2240,Moderate,5.333333333333334,Intermediate,https://www.gunungbagging.com/wp-content/uploads/2025/02/cropped-GunungBaggingnewlogo-92x92.webp,https://www.gunungbagging.com/galunggung/,8,2240
Gunung Bukittunggul,Jawa Barat,-6.8111,107.7264,2215,Moderate,5.291666666666667,Intermediate,https://www.gunungbagging.com/wp-content/uploads/2025/02/cropped-GunungBaggingnewlogo-92x92.webp,https://www.gunungbagging.com/bukittunggul/,8,2215
Gunung Salak,Jawa Barat,-6.7161,106.7336,2211,Moderate,5.285,Intermediate,https://www.gunungbagging.com/wp-content/uploads/2025/02/cropped-GunungBaggingnewlogo-92x92.webp,https://www.gunungbagging.com/salak/,8,2211
Gunung Wayang-Windu,Jawa Barat,-7.2108,107.64,2198,Moderate,5.263333333333334,Intermediate,https://www.gunungbagging.com/wp-content/uploads/2025/02/cropped-GunungBaggingnewlogo-92x92.webp,https://www.gunungbagging.com/wayang-windu/,8,2198
Gunung Tangkuban Perahu,Jawa Barat,-6.7532,107.6059,2086,Moderate,5.076666666666666,Intermediate,https://www.gunungbagging.com/wp-content/uploads/2025/02/cropped-GunungBaggingnewlogo-92x92.webp,https://www.gunungbagging.com/tangkuban-parahu/,8,2086
